PitcherID,Average_StuffPlus_2023,Average_StuffPlus_2024,era,xera,woba
425794,92.0930337199829,,,,
425844,94.5955549805732,,,,
434378,99.3078399268772,99.5219084084227,5.48,3.78,0.337
445276,102.516915005602,109.574700147456,3.29,3.24,0.253
445926,101.671951618548,103.658611873277,3.13,4.25,0.315
446372,98.5680084728207,,,,
448179,98.5260762337668,100.141183899784,,,
450203,99.0999362068751,102.462076507284,4.19,4.49,0.335
453178,100.913318583844,,,,
453268,106.124567963585,,,,
453286,103.071212387171,104.407204121248,,,
455117,87.4472195504064,,,,
455119,103.50178171987,104.052667051273,,,
456501,97.7346043594057,94.3340988701041,,,
456713,99.849886805157,,,,
458677,,100.671457660538,5.59,4.25,0.354
458681,100.340917514139,99.5928432095781,3.83,4.94,0.314
471911,94.122169218632,94.5860920768052,5.64,4.71,0.36
472551,99.7777216540465,,,,
472610,97.4859994513118,94.0661318837642,4.88,3.56,0.314
476595,101.410418585099,,,,
477132,99.6632038548096,100.370407455535,,,
488984,97.5517921493924,,,,
489119,100.563557085966,101.143619883214,,,
489446,109.189309708961,111.878428104455,1.17,1.86,0.186
493603,103.552196971955,106.735998013688,4.34,3.19,0.305
500743,133.118144163182,162.222344479775,,,
500779,97.6623813773468,96.2171522628099,3.75,4.52,0.312
500871,113.376937796331,,,,
502043,93.7797594322651,93.2117544854387,4.24,4.87,0.323
502083,101.720818847436,,,,
502085,104.218352531508,106.791411008402,3,3.19,0.257
502171,95.6278197775369,96.0765508436842,,,
502179,91.7101645348935,95.4860845923706,,,
502202,101.931931421489,,,,
502624,99.9318111075447,102.958098946081,5.4,4.49,0.329
506433,100.74837807139,102.069120610294,3.31,3.62,0.286
506702,131.413989902294,,,,
517008,105.280957096405,,,,
518397,93.1487291613106,96.0301839314857,,,
518489,96.6848766691521,97.5176556010773,,,
518516,98.4374664260442,,,,
518585,103.941150819009,104.704808694359,4.86,4.05,0.307
518617,107.25929156001,109.978610347884,,,
518626,96.7122693970139,,,,
518876,101.035515457073,99.57465891408,4.03,4.94,0.311
